Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.1 Million 3-Arrays.Hermes [[Double]],115272713100,1934713990,47687965,85877840,182452224
All.1 Million 3-Arrays.Aeson [[Double]],1884411547200,76507939704,9240069902,919273724,817889280
All.Small Object to Map.Hermes Decode,1470661,93410,4267,142,817889280
All.Small Object to Map.Aeson Lazy,3128079,267122,20403,1,817889280
All.Small Object to Map.Aeson Strict,2989167,282056,20379,1,817889280
All.Full Persons Array.Ordered Keys.Hermes Decode,108364110600,1952520246,149295592,80384930,817889280
All.Full Persons Array.Ordered Keys.Aeson Lazy,449065829900,5171074008,1212937799,264265807,817889280
All.Full Persons Array.Ordered Keys.Aeson Strict,360223948400,33663990878,1212295142,200635670,817889280
All.Full Persons Array.Unordered Keys.Hermes Decode,117411776400,3205635102,150479932,77475181,817889280
All.Full Persons Array.Unordered Keys.Aeson Lazy,447445172900,7760404948,1213065712,264399355,817889280
All.Full Persons Array.Unordered Keys.Aeson Strict,359379863800,34180644224,1212031788,200507442,817889280
All.Partial Twitter.Hermes Decode,467627971,35702604,384206,4772,817889280
All.Partial Twitter.Aeson Lazy,17025322000,1266640830,52866100,7546410,817889280
All.Partial Twitter.Aeson Strict,14314590400,1096781504,53294115,5960806,817889280
