Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.Small Map.Hermes Decode,1495947,85492,4386,144,7340032
All.Small Map.Aeson Lazy,3081292,164638,20429,2,7340032
All.Small Map.Aeson Strict,3017031,182234,20380,2,7340032
All.Full Persons Array.Ordered Keys.Hermes Decode,110535954300,3332468454,150298146,79311040,79691776
All.Full Persons Array.Ordered Keys.Aeson Lazy,469184100000,38276376594,1212511618,268113377,175112192
All.Full Persons Array.Ordered Keys.Aeson Strict,367993488200,31137092744,1212294266,200696363,175112192
All.Full Persons Array.Unordered Keys.Hermes Decode,119124767800,4314384042,150378826,76383865,175112192
All.Full Persons Array.Unordered Keys.Aeson Lazy,470064230200,43438819828,1212643670,268190706,175112192
All.Full Persons Array.Unordered Keys.Aeson Strict,365673890800,32837572354,1212032368,200568710,175112192
All.Partial Twitter.Hermes Decode,463643534,44800558,383152,2666,175112192
All.Partial Twitter.Aeson Lazy,17639466900,1321877076,52866228,7542641,175112192
All.Partial Twitter.Aeson Strict,14577693200,1072991306,53294243,5959617,175112192
